Abbr,Definition,Sentence
KJK,Kembara Jalinan Kasih,BOTA: Sebanyak 20 keluarga dari sembilan kampung di Parlimen Parit di sini menerima sumbangan melalui KJK sempena Program peringkat negeri di sini hari ini.
BPH,Bahagian Pengurusan Hartanah,"Kamarul Zaman berkata, pihaknya juga sudah mengadakan pertemuan dengan pegawai Jabatan Kerja Raya (JKR) dan BPH bagi membuat aduan mengenai perkara itu."
TM,Tekekom Malaysia,Hairul Raffique menerima bantuan daripada Jabatan Kebajikan Masyarakat (JKM) RM350 sebulan dan mendapat diskaun bayaran langganan bulanan Internet daripada TM yang digunakan untuk kerja sambilan sebagai pereka grafik.
KPPU,Kursus Pengukuhan Pemantapan Umrah,"Katanya, pihaknya yakin kerajaan akan meluluskan permohonan syarikat pengendali lain secara berperingkat apabila mereka menepati empat syarat iaitu, warganegara Malaysia dan beragama Islam, pengarah atau pemegang saham syarikat menghadiri KPPU ."
ISM,Indeks Syariah Malaysia,"KUALA LUMPUR: Keputusan penyelidikan mengenai urusan pentadbiran negara yang diukur melalui ISM akan diketahui akhir tahun ini, kata Timbalan Menteri di Jabatan Perdana Menteri, Datuk Dr Asyraf Wajdi Dusuki."
KPPM,Ketua Penyelia Pembangunan Mukim,"Turut sama pada program itu, KPPM Persekutuan, DUN Kuala Balah, Rozi Muhammad."
FFM,Festival Filem Malaysia,"Filem sentuhan pengarah box-office The Journey, Chiu Keng Guan turut menampilkan aktor hebat, Bront Palarae dan penampilan Pelakon Lelaki Terbaik di FFM , Frankie Lee."
JKN,Jawatankuasa Keselamatan Negeri,"Foto Edmund Samunting BEAUFORT: Timbalan Perdana Menteri, Tan Sri Muhyiddin Yassin memuji kecekapan JKN dan Majlis Keselamatan Negara (MKN) Sabah dalam menangani masalah banjir di negeri ini."
MPM,Majlis Peperiksaan Malaysia,KOTA BHARU: Kementerian Pendidikan akan memanggil MPM bagi mendapatkan laporan penuh berhubung larangan memakai dan membawa masuk jam tangan ke dewan peperiksaan.
PTS,Pusat Tahanan Sementara,"Ketua Staf Pasukan Khas ESSCOM, Senior Asisten Komisioner Md Rusli Mat Junus, berkata seramai 215 orang diperiksa dalam operasi itu dengan 110 daripadanya dibawa ke pusat tahanan sementara (PTS) untuk pemeriksaan lanjut."
JPN,Jabatan Perumahan Negara,"Ketua Pengarah JPN Datuk Mohamad Yusoff Ghazali berkata, berikutan itu pihaknya dengan kerjasama kerajaan negeri akan mengambil tindakan tegas termasuk menyita rumah terbabit."
HBM,Hospital Besar Melaka,"Dua lagi mangsa menerima rawatan di HBM masing-masing seorang di ICU dan wad biasa, katanya ketika dihubungi, hari ini."
MSP,Majlis Sukan Politeknik,"Majlis penutup dan penyampaian hadiah kejohanan berkenaan disempurnakan oleh Yang Dipertua MSP , Abdul Karim Jaafar."
MPK,Majlis Perbandaran Kuantan,"Pusat penempatan lain ialah di Surau Ladang Tuan Mee, Kuala Selangor (37 orang) , Taman Gemilang di Dengkil (23 orang) , Balai Raya Salak Lama, Kampung Salak Tengah di Sepang (29 orang) , Balai Raya Kampung Baru Salak Tinggi di Sepang (21 orang) , Dewan MPK Kampung Kuantan di Klang (17 orang) , katanya dalam satu kenyataan."
NU,Nazarbayev University,"UNIMAP DAN NAZARBAYEV UNIVERSITY BAKAL JALIN KERJASAMA ASTANA, 21 Nov - UNIVERSITI Malaysia Perlis (UniMAP) mengintai ruang jalinan kerjasama dengan NU Kazakhtan, terutama dalam bidang akademik dan penyelidikan."
PPPB,Pelan Pembangunan Profesionalisme Berterusan,MELAKA: Kementerian Pendidikan hari ini melancarkan PPPB bagi meningkatkan kualiti guru dan pemimpin sekolah seterusnya memperkasa profesion perguruan.
PKB,Pos Kawalan Bomba,"10 petang, mayat mangsa dibawa turun ke PKB di Kampung Jangkar, katanya."
GT,gross tonnage,"Melalui perjanjian persefahaman ditandatangani pada 27 Januari 2012 di Nusa Dua, Bali, Jakarta dan Putrajaya sepakat membebaskan mana-mana nelayan tradisional yang menggunakan kapal kurang daripada 10 GT jika ia tersesat di perairan kedua-dua negara."
PSS,Persatuan Sepaktakraw Selangor,"Semalam, Presiden PSS , Datuk Markiman Kobiran turut membidas Ahmad susulan dakwaannya itu."
SSM,Suruhanjaya Syarikat Malaysia,Semakan di SSM juga mendapati kontraktor utama projek KLVC adalah sebuah syarikat baharu yang hanya ditubuhkan Januari lalu.
PSRA,Penilaian Sekolah Rendah Agama,"Dalam pada itu, Othman berkata, JAKIM menyambut baik kenyataan pihak Jabatan Agama Islam Selangor (JAIS) yang menjadualkan semula peperiksaan PSRA di Selangor."
RDM,Road Departure Mitigation,"Terdahulu, antara ciri Honda Sensing termasuk Adaptive Cruise Control (ACC) , Forward Collision Warning (FCW) , Collision Mitigation Braking System (CMBS) , Lane Keep Assist System (LKAS) , RDM dan Lane Departure Warning (LDW) ."
PKT,Pingat Kelakuan Terpuji,"LELAKI gagal dikesan selepas keluar dari rumahnya di Kampung Bahru, Pinang Tunggal, Tasek Gelugor untuk menerima PKT , semalam."
SIP,Sistem Insurans Pekerjaan,"KUALA LUMPUR: Dewan Negara hari ini meluluskan tiga rang undang-undang (RUU) iaitu RUU Perbadanan Harta Intelek Malaysia (MyIPO) (Pindaan) 2017, RUU Suruhanjaya Penerbangan Malaysia (MAVCOM) (Pindaan) 2017 dan RUU SIP 2017."
PTS,Pusat Tahanan Sementara,"Menerusi pendekatan pertama, katanya kerajaan bersetuju untuk memperkenalkan semula Operasi Ops Bersepadu (Bersepadu) yang akan dilaksanakan serta-merta dan meningkatkan kapasiti PTS kepada 5,000 orang dengan mengubah suai bangunan bersesuaian sebagai PTS."
KPN,Kaladan Press Network,"Yang turut hadir, Eksekutif Editor KPN , Tin Soe yang menerbitkan buku edisi pertama bulan lalu bertajuk Pra-Pengusiran Terancang (Pre-Planned Expulsion) didedikasikan untuk masyarakat Rohingya di Arakan."
APL,Aspirasi Prihatin Langkawi,"Program bertemakan Datang Tengok atau Ambil Apa Saja mulai jam 10 pagi itu dianjurkan bersama oleh pertubuhan bukan kerajaan (NGO) APL , Kindness Langkawi (KL) dan Persatuan Keluarga Polis (PERKEP) Langkawi."
TM,Taekwondo Malaysia,KUALA LUMPUR: TM masih keliru dengan isu pengguguran tiga sukan termasuk taekwondo daripada sukan teras di bawah program Majlis Sukan Negara (MSN) .
JPM,Jabatan Perdana Menteri,KUALA LUMPUR: Pertukaran serta-merta dua pegawai Suruhanjaya Pencegahan Rasuah Malaysia (SPRM) ke JPM yang dibuat sebelum ini dibatalkan.
KMM,Kolej Matrikulasi Melaka,"Selain itu KMM di Londang, Taman Bidara Indah, Kawasan Perindustrian Masjid Tanah di Pengkalan Balak dan Air Hitam Darat yang didakwa mengalami gangguan bekalan itu sejak 9 pagi tadi."
JPJK,Jabatan Pencegahan Jenayah dan Komuniti,"Ia turut mendapat kerjasama Fakulti Teknologi Kreatif dan Warisan (FTKW) dan JPJK Polis Diraja Malaysia (PDRM) Negeri Kelantan, katanya."
DBD,Desa Bina Diri,"Katanya, pihaknya menerusi DBD ada memberi kemahiran berkebun, bertukang, menjahit dan sebagainya sebagai persediaan untuk gelandangan berdikari dan kembali semula ke pangkuan keluarga atau masyarakat."
PKI,Parti Komunis Indonesia,"Laporan mereka menganggarkan antara 400,000 dan 500,000 orang yang disyaki mempunyai hubungan dengan PKI , dibunuh oleh skuad penembak tentera."
G,gangsa,"Pada edisi 2015 Rumah Kuning yang dipimpin gurunya, Muhamad Amin Mat Noh masih kekal juara apabila meraih 17 emas (E) , 14 perak (P) dan 6 G menjadikan 37 jumlah keseluruhan pingat yang dikutip mereka."
PPS,Projek Penguatkuasaan Seimbang,"KUALA LUMPUR: Kementerian Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan (KPDNKK) akan memulakan pelaksanaan PPS bagi tempoh 2017 hingga 2020."
ADC,Asia Dream Cup,"Terletak 410 kilometer di bahagian timur laut Bangkok, pusingan kedua terakhir dari enam pusingan kejuaraan di CIC bakal memberi cabaran baru kepada pelumba yang beraksi dalam kelas SuperSports 600cc, Underbone 130cc dan juga ADC ."
JPBN,Jabatan Pengurusan Banjir Negeri,"Ketua Sekretariat JPBN Melaka, Leftenan Kolonel (PA) Effendy Ali, berkata paras air di beberapa sungai mulai meningkat secara mendadak jam 4 pagi tadi dan menjejaskan sebahagian besar kawasan rendah di bandar raya ini."
KKR,Kementerian Kerja Raya,"Tambahnya, JKR mengambil langkah proaktif dengan mewujudkan kumpulan WhatsApp dikenali sebagai Rakan KKR Perak bagi memudahkan orang ramai membuat aduan menerusi wakil dilantik."
KP,Ketua Pengarah,"Ahmad Shapawi Ismail KUALA LUMPUR: Ahmad Shapawi Ismail dilantik selaku KP Majlis Sukan Negara yang baharu berkuatkuasa, esok."
HSA,Hospital Sultaah Aminah,"Menurutnya, dia kini mendapatkan rawatan di HSA , Johor Bahru pada setiap bulan dan Hospital Sultanah Nora Ismail (HSNI) , di sini, dalam tempoh dua minggu sekali."
ICC,International Conference Centre,"Tiada siapa pun dalam kalangan kita yang selamat daripadanya tetapi andainya kita bersatu, kita akan lebih selamat, kata Perdana Menteri ketika menyampaikan ucaptama pada Majlis Penutupan Persidangan Pencegahan Keganasan di ICC Sydney di sini hari ini."
KGT,kenaikan gaji tahunan,"Semua penjawat awam akan mendapat faedah tanpa ada seorang pun terkecuali dan ini bermakna semua penjawat awam akan meningkat dua KGT , pada tahun depan, katanya ketika ditemui di lobi Parlimen di sini."
KMK,Kesateria Muda Keselamatan,"Beliau berkata demikian pada sidang media selepas Majlis Pemakaian Pangkat Bersekutu Jabatan Sukarelawan Malaysia (RELA) kepada pemimpin muda di bawah KMK , di Pusat Dagangan Dunia Putra, di sini, sebentar tadi."
PPA,Projek Perumahan Awam,"00 dan sijil, manakala tempat ketiga, Komuniti 1Malaysia PPA Seri Perlis 2, Kuala Lumpur."
IFC,International Finance Corp,"Juga pada penghujung bulan lalu, IFC , cabang Bank Dunia melancarkan program bagi mempromosikan lampu suria mampu milik di Pakistan."
PP,Pulau Pinang,GEORGETOWN: Perbadanan Pembinaan Keretapi China (CRCC) mengesahkan pihaknya tidak pernah menjadi pemegang saham bagi syarikat tujuan khas (SPV) bagi projek terowong dasar laut di PP yang bernilai RM6.
UI,Universiti Indonesia,Muhammad mengulas mengenai sebuah organisasi di UI yang dikenali Kumpulan Sokongan dan Pusat Sumber untuk Kajian Seksualiti (SGRC) yang menawarkan kaunseling kepada pelajar LGBT.
YKK,Yayasan Kemiskinan Ketereh,"Jadi inilah masanya BN membuktikan kemantapan dan Insya-Allah dengan amanah rakyat yang diberikan ini kita sasar untuk merampas Kelantan, katanya Beliau berkata demikian di Majlis Pemimpin Bersama Rakyat dengan Bahagian UMNO Ketereh di Kompleks YKK , di sini, hari ini."
KPPU,Kursus Pemantapan Pengendali Umrah,Satu daripada prasyarat untuk memperoleh lesen itu adalah pengendali umrah perlu menjalani KPPU dianjurkan kementerian selama dua hari.
FPM,Faedah Pengurusan Mayat,"Saya terkejut apabila dihubungi Perkeso pada 28 November lalu, supaya segera menguruskan Faedah pengurusan Mayat (FPM) dan sekarang, mereka datang menyerahkan cek bayaran Pencen Penakat."
GHB,Gerakan Harapan Baru,"KUALA LUMPUR: GHB yang diuar-uar akan menggantikan PAS dalam pakatan pembangkang sekadar mengharap ihsan PKR dan DAP, mengikut beberapa ahli politik."
KM,Kapal Maritim,Kapal Diraja (KD) Jerong milik Tentera Laut Diraja Malaysia (TLDM) dan KM Memmon yang menjalankan operasi mencari dan menyelamat (SAR) juga digerakkan ke lokasi.
SAMM,Solidariti Anak Muda Malaysia,"Katanya, ini berikutan isu itu ditimbulkan oleh pengasas SAMM , Badrul Hisham Shaharin menerusi artikel bertajuk Shafie harus respons, isu penggunaan wang taikun yang disiarkan di laman blognya chegubard."
SSP,Sekolah Seri Puteri,Hadir sama Pengetua SSP Nor Aishah Abdullah.
PBR,Parti Bebas Rasuah,Putrajaya: Jabatan Pendaftaran Pertubuhan (ROS) tidak meluluskan permohonan penukaran nama Parti Generasi Baru kepada PBR berikutan timbul beberapa keraguan termasuk dari segi keahliannya.
KDNK,Kadar Dalam Negara Kasar,"5 bilion atau tiga peratus kepada KDNK negara, katanya."
PKL,Pingat Khidmat Lama,"Sebanyak 56 menerima Bintang Cemerlang Melaka (BCM) , 89 menerima Bintang Khidmat Terpuji (BKT) , 137 menerima Pingat Jasa Kebaktian (PJK) , 80 menerima Pingat Bakti Masyarakat (PBM) dan 17 menerima PKL ."
BM,Bintara Muda," BM Maritim Nor Azizi Ramly yang juga ketua kumpulan berkata, persembahan muzik jalanan itu kali pertama diadakan dan terharu dengan sambutannya."
MDKP,Majlis Daerah Kuala Pilah,"Menurutnya, pihaknya akan mengadakan perbincangan bersama MDKP , Angkatan Pertahanan Awam Malaysia (APM) , Jabatan Perkhidmatan Veterinar, Jabatan Perlindungan Hidupan Liar dan Taman Negara (PERHILITAN) serta polis, pada 9 Oktober ini."
FC,Flipped Classroom,"Sementara itu, Aminudin berkata, KPM turut memperkenalkan kaedah FC di prasekolah kementerian iaitu pembelajaran dilakukan bersama-sama ibu bapa di rumah sebelum murid belajar di sekolah."
VIP,Vendor Inkubator Payung,"Sementara itu, dua beradik yang pernah kerugian RM1 juta dalam perniagaan kini mampu tersenyum selepas mendapat bantuan PKNS melalui program VIP ."
PH,Pakatan Harapan,SHAH ALAM: Pengerusi PH Selangor yakin isu membabitkan pembahagian kerusi kawasan pilihan raya di Selangor akan dapat diselesaikan dengan baik.
VG,vegetable glycerine,"Komponen higroskopi yang biasa digunakan termasuk propylene glycol (PG) , VG dan polyethylene glycol 400 (PEG 400) ."
PSM,Parti Sosialis Malaysia,PKR juga akan meneruskan tahaluf siyasi atau kerjasama politik dengan PAS serta PSM dan parti politik di Sabah dan Sarawak.
PTD,Pegawai Tadbir dan Diplomatik,"Selain itu, beliau berkata, JDKM juga berharap kerajaan mempertimbangkan untuk menempatkan pegawai kastam sendiri untuk mengetahui jabatan itu sebagai Ketua Pengarah, dan bukan lagi terdiri daripada PTD ."
UAE,United Arab Emirates,"Persidangan dua hari itu yang julung kali dianjurkan ini dihadiri semua Menteri ASEAN dan sembilan menteri-menteri negara rakan strategik seperti Amerika Syarikat, Perancis, Australia, United Kingdom, Arab Saudi, UAE , Jepun, China dan Itali yang bertanggungjawab dalam menangani ancaman ekstremis militan negara masing-masing."
RFS,Reza Food Services,"Beliau bercakap demikian mengenai pegangan Lesen Pembangunan (DL) baru untuk pasaran Malaysia yang kini dimiliki syarikat dari Arab Saudi, RFS menerusi Lionhorn Pte."
YKK,Yayasan Kemiskinan Kelantan,"Kota Bharu: Tiga puluh enam pasangan pengantin diarak dengan menaiki 18 kenderaan mewah dalam majlis persandingan Walimatul Urus Qubro 2016 di YKK , Peringat di sini, hari ini."
APPW,Akta Pemberi Pinjam Wang,"Beliau berkata, kes itu disiasat mengikut Seksyen 5 APPW 1951 yang memperuntukkan hukuman denda tidak kurang RM250,000 dan tidak lebih RM1 juta atau penjara tidak lebih lima tahun atau kedua-duanya, jika sabit kesalahan."
PBS,Pasukan Bomba Sukarela,06 pagi dan dua jentera bersama 10 anggota termasuk PBS Umas ke tempat kejadian.
SRP,Sijil Rendah Pelajaran,"Ikut sejarah, PMR menggantikan SRP diperkenalkan pada 1960 yang sebelum itu, SRP menggantikan Lower Certificate of Education (LCE) yang diperkenalkan pada 1957."
MKN,Majlis Keselamatan Negeri,"Penolong Setiausaha MKN , Norhafizah Zainuddin berkata, sebanyak 56 pusat pemindahan di empat daerah di Hulu Perak, Perak Tengah, Kerian, Kuala Kangsar dan Manjung dibuka untuk menempatkan mangsa banjir."
PBA,Perbadanan Bekalan Air,"Antara agensi kerajaan yang turut serta ialah Majlis Perbandaran Seberang Jaya (MPSP) , Kumpulan Wang Simpanan Wang Pekerja (KWSP) , PBA , Lembaga Hasil Dalam Negeri (LHDN) dan Tenaga Nasional Bhd (TNB) ."
MBR,Masyarakat Bola Rotan,Itu reaksi Presiden MBR Mohsen Amdan susulan pelawaan Timbalan Presiden PSM Akramuddin Abd Aziz agar badan bukan kerajaan (NGO) memohon kepada badan induk berkenaan bagi menganjurkan sebarang kejohanan.
PPUM,Perubatan Pakar Universiti Malaya,"Allahyarham Jamil dibawa pulang dari Pusat PPUM ke rumah anaknya itu, Kira-kira jam 11 pagi."
PAT,Penilaian Awal Tapak,"JAS Johor sebelum ini tidak meluluskan permohonan PAT kilang berkenaan untuk meneriskan operasi di kawasan berkenaan dan mengarahkan ia dipindahkan ke lokasi lain, namun tidak diendahkan, katanya ketika dihubungi hari ini."
PMA,Pasport Malaysia Antarabangsa,"Putrajaya: Jabatan Imigresen menumpaskan satu rangkaian sindiket pemalsuan PMA yang didalangi warga asing di Lapangan Terbang Antarabangsa Kuala Lumpur (KLIA) , Sepang, Ahad lalu."
PAT,Panglima Angkatan Tentera,"Katanya, peranan ATM dalam perkara itu sudah dijelaskan PAT , Jeneral Tan Sri Zulkifeli Mohd Zin semalam, namun ada pihak sengaja memutar belit kononnya tentera bersedia untuk mengambil alih daripada PDRM."
SACC,Shah Alam Convention Centre,Majlis yang berlangsung dari jam 12 tengah hari hingga 5 petang di SACC itu dihadiri ramai orang membuatkan kami penyampai Hot FM dan tetamu seperti Ustaz Kazim Elias dan Imam Muda Asyraf sangat terharu.
HS,Hospital Selayang,"Katanya, apabila keadaan isterinya tidak menunjukkan sebarang perkembangan positif, arwah kemudian dirujuk ke HS tiga hari kemudian untuk pemantauan pakar."
MDT,Majlis Daerah Tangkak,"Seramai 70 anggota dari pelbagai agensi penguat kuasaan seperti Polis Diraja Malaysia (PDRM) dan MDT terbabit dalam operasi terbesar di daerah berkenaan, tahun ini."
SEA,Social Enterprise Alliance,"Selain itu, enam bengkel selari akan turut dijalankan untuk aktiviti perbincangan dan praktikal yang akan dikendalikan agensi profesional iaitu Scope Group Malaysia, Genovasi Malaysia, SEA , MyHarapan, Myskills Foundation dan Amanah Ikhtiar Malaysia."
PBD,Pentaksiran Bilik Darjah,"Selain keputusan UPSR, PPSR turut mengandungi laporan PBD , Pentaksiran Psikometrik serta Pentaksiran Aktiviti Jasmani, Sukan dan Kokurikulum (PAJSK) ."
AMD,acid mine drainage,"Pang berkata, bekas lombong berkenaan mengalami degradasi alam sekitar khususnya pencemaran air akibat terhasilnya AMD di kawasan lubang mine pit (utama) bekas lombong."
SSM,Suruhanjaya Syarikat Malaysia,"Ketua Penolong Pengarah Kanan Jabatan Pelesenan dan Pembangunan Penjaja (JPPP) DBKL Zulkifli Muhammad berkata, operasi dijalankan terhadap kira-kira 300 premis perniagaan, termasuk 73 premis berdaftar milik warga asing dengan kekuatan 126 anggota daripada DBKL, Kementerian Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan (KPDNKK) , Jabatan Imigresen Malaysia, polis dan SSM ."
RBC,Rural Business Challenge,"Umpama suatu keajaiban, anak kedua daripada lima beradik ini tidak menyangka sama sekali dipilih sebagai pemenang kedua pertandingan RBC pada 2012 lalu, sekali gus berkelayakan menerima geran berjumlah RM1."
RDC,Rainforest Discovery Centre,"Katanya sebelum itu, wanita berkenaan mengikuti aktiviti melihat burung di kawasan Hutan Sepilok di RDC ."
IPT,institusi pengajian tempatan,"Minat dan galakan perlu diasah dari kanak-kanak, meskipun kerajaan memberikan tumpuan menjadikan sains, teknologi, kejuruteraan dan matematik (STEM) sebagai salah satu bidang pengajian di IPT , ramai masih tidak mengendahkannya."
THP,Turbo High Pressure,"Peugeot 3008 didatangkan dengan enjin 1,598 cc Twin Scroll THP mampu menjana kuasa kuda 167 PS dan tork 240 Nm."
BPKP,Bahagian Perkhidmatan Kredit dan Perbankan,"Presidennya, Datuk Abdul Fattah Abdullah, berkata ANGKASA melalui BPKP menawarkan dua kategori untuk manfaat secara terus kepada pelanggan individu potongan gaji."
MSA,Malaysia-Singapore Airlines,"Katanya, MAS dilahirkan selepas kerajaan melihat syarikat penerbangan MSA yang dikongsi hanya menguntungkan negara jiran."
PGM,Pasukan Gerakan Marin,"Menurutnya, perbincangan itu membabitkan Majlis Perbandaran Alor Gajah (MPAG) , Jabatan Agama Islam Melaka (JAIM) , Jabatan Laut negeri dan PGM ."
SKPK,Standard Kualiti Prasekolah Kebangsaan,"Pada masa sama, BPSwasta juga sentiasa melakukan penambahbaikan terhadap kualiti tadika swasta melalui SKPK di mana kualiti tadika yang berdaftar dapat dikawal selia oleh kementerian secara dalam talian menerusi SKPK."
